code,thaiTitle,englishTitle,credits,creditUnits,theoryHours,practiceHours,selfStudyHours
"01-110-004","สังคมกับสิ่งแวดลSอม","Society and Environment","3(3-0-6)","3","3","0","6"
"01-110-007","การสื่อสารกับสังคม","Communication and Society","3(3-0-6)","3","3","0","6"
"01-110-009","การพัฒนาคุณภาพชีวิตและสังคม","Quality of Life and Society Development","3(3-0-6)","3","3","0","6"
"01-110-017","คุณภาพชีวิตที่ดีของพลเมืองยุคใหมQ","Quality of Life for New Generation","3(3-0-6)","3","3","0","6"
"01-110-020","หนึ่งเสียง สรSางพลังสังคม","One Voice for Social Empowerment","3(3-0-6)","3","3","0","6"
"01-110-021","ชีวิตในสังคมพหุวัฒนธรรม","Life in Multicultural Society","3(3-0-6)","3","3","0","6"
"01-110-022","มองสังคมอยQางนักวิจัย","Sociological Perspective as a Researcher","3(3-0-6)","3","3","0","6"
"01-110-023","พลเมืองที่ดีตามวิถีประชาธิปไตย","Good Citizen by Democratic Way","3(3-0-6)","3","3","0","6"
"01-110-024","ชีวิตที่พอเพียงกับภูมิปXญญาไทย","Sufficiency Life with Thai Wisdom","3(3-0-6)","3","3","0","6"
"01-110-025","สังคมที่เปJนมิตรกับสิ่งแวดลSอม","Eco-friendly Society","3(3-0-6)","3","3","0","6"
"01-110-026","อาเซียนในยุคศตวรรษที่ 21","ASEAN in the 21st Century","3(3-0-6)","3","3","0","6"
"01-110-027","สังคมกับเศรษฐกิจ","Society and Economy","3(3-0-6)","3","3","0","6"
"01-110-029","อัตลักษณ?การเมืองกับพลเมืองยุคใหมQ","Political Identity and Modern Citizens","3(3-0-6)","3","3","0","6"
"01-110-030","ชีวิตติดเทร็นด?","Trendy Life","3(3-0-6)","3","3","0","6"
"00-100-102","อัตลักษณ?แหQงราชมงคลธัญบุรี","RMUTT Identity","3(2-2-5)","3","2","2","5"
"01-210-007","ตรรกะในชีวิตประจำวัน","Logic in Daily Life","3(3-0-6)","3","3","0","6"
"01-210-017","สารสนเทศและการเขียนรายงานทางวิชาการ","Information and Academic Report Writing","3(3-0-6)","3","3","0","6"
"01-210-018","การสืบคSนสารสนเทศ","Information Retrieval","3(3-0-6)","3","3","0","6"
"01-210-022","วิถีธรรมวิถีไทย","The way of Thai Ethics","3(3-0-6)","3","3","0","6"
"01-210-023","มหัศจรรย?แหQงรัก","Miracle of Love","3(3-0-6)","3","3","0","6"
"01-210-024","ทักษะการเรียนรูSสูQความสำเร็จ","Learning Skills to Success","3(3-0-6)","3","3","0","6"
"01-210-025","มองชีวิตผQานฟล?ม","Life on Films","3(3-0-6)","3","3","0","6"
"01-210-028","การรูSเทQาทันสารสนเทศในยุคดิจิทัล","Information Literacy in Digital Age","3(3-0-6)","3","3","0","6"
"01-210-029","จิตวิทยาเพื่อชีวิตที่งดงาม","Psychology for Beautiful Life","3(3-0-6)","3","3","0","6"
"01-210-030","ดุลยภาพแหQงชีวิต","Balance of Life","3(3-0-6)","3","3","0","6"
"01-210-031","คุณคQาของชีวิตและจริยธรรมในวิชาชีพ","Value of Life and Professional Ethics","3(3-0-6)","3","3","0","6"
"01-210-032","การใชSเหตุผลและจริยศาสตร?","Reasoning and Ethics","3(3-0-6)","3","3","0","6"
"01-210-033","บุคลิกภาพสูQความสำเร็จ","Personality to Success","3(3-0-6)","3","3","0","6"
"01-610-003","นันทนาการ","Recreation","1(0-2-1)","1","0","2","1"
"01-610-005","การจัดการคQายพักแรม","Camp Management","3(3-0-6)","3","3","0","6"
"01-610-006","การฝกดSวยน้ำหนักเพื่อสุขภาพ","Weight Training for Health","3(2-2-5)","3","2","2","5"
"01-610-007","ดำน้ำตื้นเบื้องตSน","Basic Skin Diving","3(2-2-5)","3","2","2","5"
"01-610-008","ลีลาศเพื่อสุขภาพ","Social Dance for Health","3(2-2-5)","3","2","2","5"
"01-610-009","สุขภาพเพื่อชีวิต","Health for Life","3(3-0-6)","3","3","0","6"
"01-610-012","สุขภาพเพื่อการดำรงชีวิตสำหรับคนรุQนใหมQ","Health for New Generation Living","3(2-2-5)","3","2","2","5"
"01-610-013","การควบคุมน้ำหนักและรูปรQางเพื่อสุขภาพ","Weight and Body Shapes Control for Health","3(2-2-5)","3","2","2","5"
"01-610-014","ทักษะกีฬาเพื่อสุขภาพ","Sports Skills for Health","1(0-2-1)","1","0","2","1"
"01-610-015","กิจกรรมทางน้ำเพื่อสุขภาพ","Water Activities for Health","3(2-2-5)","3","2","2","5"
"00-100-203","มหาวิทยาลัยสีเขียว","Green University","3(2-2-5)","3","2","2","5"
"00-100-204","การคิดเชิงออกแบบ","Design Thinking","3(2-2-5)","3","2","2","5"
"09-000-002","การใชSงานโปรแกรมสำเร็จรูปเพื่องานมัลติมีเดีย","Program Package for Multimedia","3(2-2-5)","3","2","2","5"
"09-090-013","การจัดการสารสนเทศเพื่อผูSประกอบการ","Information Management for Entrepreneur","3(2-2-5)","3","2","2","5"
"09-111-001","การคิดและการใหSเหตุผล","Thinking and Reasoning","3(3-0-6)","3","3","0","6"
"09-111-002","คณิตศาสตร?เพื่อการทQองเที่ยว","Mathematics for Tourism","3(3-0-6)","3","3","0","6"
"09-111-051","คณิตศาสตร?ในชีวิตประจำวัน","Mathematics in Daily Life","3(3-0-6)","3","3","0","6"
"09-130-002","อินเทอร?เน็ตทุกสรรพสิ่งในชีวิตประจำวัน","Internet of Things in Everyday Life","3(3-0-6)","3","3","0","6"
"09-130-003","ชีวิตดิจิทัล","Digital Life","3(3-0-6)","3","3","0","6"
"09-150-001","ฟาร?มอัจฉริยะและเมืองอัจฉริยะ","Smart Farm and Smart City","3(2-2-5)","3","2","2","5"
"09-210-001","เคมีในยุคดิจิทัล","Chemistry in Digital Life","3(3-0-6)","3","3","0","6"
